designator,quantity,value,pack,mpn,mount_type
"C1, C2, C3, C4, C5, C7",6,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,smt
"C10, C6, C9",3,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,smt
"C11, C12",2,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,smt
C8,1,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,smt
D1,1,RED_LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,smt
"D2, D4",2,YELLOW_LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,smt
D3,1,1N4007,D_DO-41_SOD81_P12.70mm_Horizontal,,tht
F1,1,500mA,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,smt
J1,1,Conn_02x04_Top_Bottom,PinHeader_2x04_P2.54mm_Vertical,,tht
J2,1,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",,tht
J3,1,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,tht
J4,1,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",,tht
J6,1,U.FL-R-SMT_10_,HRS_U.FL-R-SMT_10_,,smt
K1,1,SRD-05VDC-SL-C,RELAY_SRD-05VDC-SL-C,,tht
Q1,1,MBT3904DW1,MBT3904DW1,,smt
Q2,1,BC547A,BC547A,,smt
"R1, R2",2,5.1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,smt
"R10, R8",2,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,smt
"R11, R9",2,2K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,smt
"R12, R3, R6, R7",4,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,smt
"R4, R5",2,22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,smt
"SW1, SW2",2,SW_SKQG,SW_SPST_SKQG_WithStem,,smt
U1,1,PRTR5V0U2X,PRTR5VOU2X,,smt
U2,1,CH340C,CH340C,,smt
U3,1,ESP32-WROOM-32,ESP32-WROOM-32,,smt
U4,1,PC817,PC817,,smt
U5,1,AMS1117-3.3,AMS1117-3.3,,smt
U7,1,RFM95W-915S2,XCVR_RFM95W-915S2,,smt
USB1,1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,,smt
