pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
142.22,-102.03,180.0,top,C1,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
118.2125,-69.61,180.0,top,C10,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22uF,smt,True
-26.51,-56.2,180.0,top,C11,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4.7uF,smt,True
154.88,-101.62,-90.0,top,C12,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4.7uF,smt,True
103.72,-98.26,0.0,top,C2,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
153.91,-115.73,-90.0,top,C3,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
153.88,-107.55,-90.0,top,C4,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
142.51,-116.54,-90.0,top,C5,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
142.27,-109.23,180.0,top,C6,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22uF,smt,True
142.21,-105.5,180.0,top,C7,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
-46.05,-48.9875,90.0,bottom,C8,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22u,smt,True
110.96,-74.58,90.0,top,C9,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22uF,smt,True
112.77,-67.31,90.0,top,D1,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,RED_LED,smt,True
107.96,-76.805,-90.0,top,D2,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,YELLOW_LED,smt,True
131.26,-82.15,90.0,top,D3,,D_DO-41_SOD81_P12.70mm_Horizontal,1N4007,tht,True
126.02,-79.705,90.0,top,D4,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,YELLOW_LED,smt,True
106.94,-104.33,90.0,top,F1,,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,500mA,smt,True
131.27,-94.785,90.0,top,J1,,PinHeader_2x04_P2.54mm_Vertical,Conn_02x04_Top_Bottom,tht,True
106.14,-65.51,180.0,bottom,J2,,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",Screw_Terminal_01x02,tht,True
118.775,-92.49,90.0,top,J3,,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,Conn_01x04,tht,True
159.42,-62.79,-90.0,bottom,J4,,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",Screw_Terminal_01x03,tht,True
160.06,-101.315,-90.0,top,J6,,HRS_U.FL-R-SMT_10_,U.FL-R-SMT_10_,smt,True
143.6875,-67.78,0.0,bottom,K1,,RELAY_SRD-05VDC-SL-C,SRD-05VDC-SL-C,tht,True
149.19,-111.52,0.0,top,Q1,,MBT3904DW1,MBT3904DW1,smt,True
129.47,-64.75,180.0,top,Q2,,BC547A,BC547A,smt,True
112.07,-108.34,0.0,top,R1,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1K,smt,True
130.18,-61.39,0.0,top,R10,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1K,smt,True
126.04,-75.73,-90.0,bottom,R11,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2K,smt,True
-26.49,-52.68,180.0,top,R12,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt,True
107.06,-108.35,180.0,top,R2,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1K,smt,True
-49.78,-62.67,0.0,top,R3,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt,True
112.27,-101.22,90.0,top,R4,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22,smt,True
109.24,-101.24,90.0,top,R5,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22,smt,True
-49.78,-71.52,0.0,top,R6,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt,True
151.13,-101.62,-90.0,top,R7,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt,True
126.0,-70.84,0.0,top,R8,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1K,smt,True
110.93,-79.4,-90.0,top,R9,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2K,smt,True
160.1,-116.18,180.0,top,SW1,,SW_SPST_SKQG_WithStem,SW_SKQG,smt,True
160.12,-107.73,180.0,top,SW2,,SW_SPST_SKQG_WithStem,SW_SKQG,smt,True
110.76,-104.87,180.0,top,U1,,PRTR5VOU2X,PRTR5V0U2X,smt,True
109.4,-93.82,180.0,top,U2,,CH340C,CH340C,smt,True
128.395,-109.805,180.0,top,U3,,ESP32-WROOM-32,ESP32-WROOM-32,smt,True
119.45,-65.08,0.0,top,U4,,PC817,PC817,smt,True
117.28,-74.72,0.0,top,U5,,AMS1117-3.3,AMS1117-3.3,smt,True
152.77,-89.68,0.0,top,U7,,XCVR_RFM95W-915S2,RFM95W-915S2,smt,True
109.32,-119.275,0.0,top,USB1,,HRO-TYPE-C-31-M-12-HandSoldering,HRO-TYPE-C-31-M-12,smt,True
